Ca,Vf,E
252.9, 0.906, 12.02
241.1, 0.828, 10.36
251.8, 0.767, 8.80
296.8, 0.948, 18.49
250.7, 0.938, 5.63
247.6, 0.922, 17.57
274.1, 0.962, 26.84
311.4, 0.960, 26.75
309.1, 0.981, 33.65
226.1, 0.886, 10.03
270.0, 0.946, 16.72
267.8, 0.942, 21.22
270.1, 0.906, 19.47
226.8, 0.898, 11.44
251.3, 0.952, 18.95
208.3, 0.807, 6.71
225.3, 0.766, 6.41
280.4, 0.894, 20.21
174.3, 0.693, 2.23
274.1, 0.955, 18.70
262.1, 0.933, 19.72
250.5, 0.943, 14.09
260.0, 0.690, 8.41
272.6, 0.956, 31.33
256.3, 0.934, 15.88
255.7, 0.976, 28.25
315.3, 0.964, 34.06
244.6, 0.942, 13.78
268.9, 0.967, 25.67
281.8, 0.911, 22.13
211.5, 0.866, 7.27
212.8, 0.824, 6.48
252.1, 0.953, 19.05
288.2, 0.968, 19.34 
