Strain,Stress_MPa
6.88E-07,0.239495509
-3.19E-06,0.241687347
-1.05E-06,0.243317342
-1.07E-06,0.244073733
-5.66E-06,0.24691594
-8.71E-06,0.24935988
-1.56E-05,0.252122167
-3.45E-05,0.25903539
-4.27E-05,0.319691294
-5.34E-05,0.430620005
-6.13E-05,0.583591779
-6.05E-05,0.77009148
-6.00E-05,0.967657514
-5.18E-05,1.162467489
-3.33E-05,1.342453487
-1.71E-05,1.435572261
4.06E-06,1.414368192
3.09E-05,1.305790152
5.86E-05,1.14681391
8.58E-05,0.973494523
0.000116254,0.806200245
0.000147577,0.648007956
0.000190835,0.522529689
0.00023387,0.461301062
0.000271977,0.452355985
0.000309547,0.633933489
0.00035471,0.90901082
0.000401764,1.447238015
0.000449159,2.277315683
0.000488741,3.544964904
0.000530753,5.145914892
0.000579189,7.054604231
0.000628842,9.091089911
0.0006772,11.34293386
0.000723051,13.63267057
0.000771069,15.96422994
0.000820653,18.19982554
0.000868944,20.44177763
0.000920143,22.68748192
0.000969618,25.01075307
0.001017357,27.41672247
0.001066929,29.86667166
0.001121225,32.38078963
0.0011735,34.93789421
0.001222612,37.56036688
0.001267676,40.22943447
0.001315249,42.90396253
0.001367863,45.61008396
0.001418226,48.35279842
0.001464205,51.08115017
0.001510366,53.81427774
0.001560368,56.54356432
0.001608428,59.33485465
0.001660766,62.12495204
0.001707462,64.89124155
0.001759154,67.68918203
0.001808723,70.51713462
0.001860022,73.39272406
0.001908437,76.29338757
0.001961998,79.149398
0.002012712,81.97998029
0.002064252,84.83108715
0.002111434,87.71957689
0.002165243,90.60275441
0.002216903,93.44974819
0.002269988,96.34344587
0.002317401,99.26988191
0.002364973,102.2353698
0.002416158,105.2633645
0.00246937,108.1990492
0.002516166,111.1621058
0.002563447,114.1320808
0.002612061,117.0528944
0.002666049,119.93967
0.002716201,122.8212691
0.002764991,125.6251965
0.002811753,128.4927183
0.002859753,131.3283072
0.002909372,134.1569517
0.002955724,136.9492217
0.003000855,139.7319612
0.003045214,142.5029448
0.00308832,145.264126
0.003132088,147.9989199
0.003178548,150.7065467
0.003223558,153.4007921
0.003270094,156.0771521
0.003313104,158.7676673
0.003355635,161.4494826
0.003400103,164.0822887
0.003446266,166.6738022
0.003490578,169.2462656
0.003530338,171.8512282
0.003573258,174.4560221
0.003616352,176.9778022
0.003660777,179.5033976
0.003704744,182.0340087
0.003747394,184.6088205
0.003789057,187.1782108
0.003835811,189.6582604
0.003878355,192.1768028
0.003918227,194.7325561
0.003957635,197.2719176
0.003998069,199.8378442
0.004039395,202.3310352
0.004078949,204.7915096
0.004117045,207.2547289
0.004155936,209.6483713
0.004198609,211.9883209
0.004242431,214.325282
0.004284342,216.569661
0.004327544,218.7765512
0.004373131,220.8815256
0.004421006,222.9209471
0.004467397,224.8556684
0.004517098,226.7985524
0.004568875,228.6405973
0.004623614,230.4513776
0.004678018,232.3490149
0.004732045,234.2444823
0.004788697,236.0495652
0.004850197,237.8732161
0.004912315,239.7301504
0.004977297,241.5957104
0.005041601,243.4002169
0.005109843,245.0320154
0.005185824,246.7262223
